"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SAOUHSC_T00039",0.609100247202567,11.6674394075003,1.52375630669962,0.131893476665172,0.48950437194488,-5.75648534542198
"SAOUHSC_T0003",0.643300156952538,13.5215201314221,1.48710080479124,0.141298152978635,0.48950437194488,-5.73671878143553
"SAOUHSC_T00032",-0.725387214001982,10.7857444323175,-1.46904312207867,0.146120708043248,0.48950437194488,-5.68425142295198
"SAOUHSC_R00014",1.35445279457647,5.31052060658634,1.40894269122729,0.163100738942514,0.520369024245165,-5.10592240463131
"SAOUHSC_T00044",-0.800430350855769,8.836459473905,-1.25754042644762,0.212569143942921,0.613925584434625,-5.69095326960116
"SAOUHSC_T0008",1.23253650451502,5.25009226002223,1.25437603661979,0.213709951344227,0.613925584434625,-5.29388303591191
"SAOUHSC_T00042",0.650673592605296,9.67568678804712,1.23177862456396,0.221987914598254,0.613925584434625,-5.87250979291736
"SAOUHSC_T00025",-0.631332889801075,11.1233823051549,-1.21291226726668,0.229076710609935,0.613925584434625,-6.06173143726329
"SAOUHSC_T00051",0.472978244027732,11.4583638077399,1.15870092459455,0.250357401355944,0.645151765032626,-6.22331024307298
"SAOUHSC_T0009",0.747679335501948,8.28173370725022,1.0767541650958,0.285138341196563,0.707565513339619,-5.82179355518632
"SAOUHSC_T00046",-0.733019981720666,7.79923075605276,-1.01915757975614,0.311496487950698,0.729864829978212,-5.81060937664337
"SAOUHSC_T00022",0.824921508450441,7.46101066044106,1.0098365592343,0.31591164282639,0.729864829978212,-5.78595168851014
"SAOUHSC_T00016",-0.418526504598419,11.0511698092156,-0.943479605072335,0.348550106985008,0.777386049129189,-6.35648586138485
"SAOUHSC_T00021",0.425355909657727,10.2583930708882,0.91052355086531,0.365545471175595,0.777386049129189,-6.31769969453155
"SAOUHSC_T0001",-0.38901461107321,13.8791984585241,-0.899608510182024,0.371288859285583,0.777386049129189,-6.41681404391627
"SAOUHSC_T00056",-0.360078667938801,10.8177843463071,-0.786862527337713,0.433911392545917,0.846996415068524,-6.46981491943882
"SAOUHSC_T00013",0.320947166602583,10.8510898672599,0.739155529417198,0.462184496866804,0.846996415068524,-6.55459089115037
"SAOUHSC_T00014",0.281761790569232,11.9264598326612,0.717819584500057,0.475161193480177,0.846996415068524,-6.64041783769069
"SAOUHSC_T00043",0.287123729809001,12.478578031449,0.71418910665174,0.477389427296687,0.846996415068524,-6.62380656066474
"SAOUHSC_T00053",0.567160147773599,6.83702566664285,0.702772443646314,0.484434377796646,0.846996415068524,-5.96507325950968
"SAOUHSC_T00015",0.376100595572825,9.3652402959159,0.683818920063486,0.496256101691518,0.846996415068524,-6.33393946358502
"SAOUHSC_R00012",-0.604715172586949,5.75990787486449,-0.674611656552585,0.502055068521955,0.846996415068524,-5.88010792701208
"SAOUHSC_T00038",0.47027736676229,7.83412013413793,0.668901928723099,0.505669501533447,0.846996415068524,-6.11021246585805
"SAOUHSC_T0002",-0.290625461373266,10.7207523317422,-0.63967164185517,0.524390039760978,0.856930064975256,-6.56660939065113
"SAOUHSC_T00054",0.266234792346178,10.1429234008448,0.553008084179567,0.581948744118524,0.861439852605135,-6.54888288674135
"SAOUHSC_R0004",0.239761108099126,15.5605087518567,0.532342359924612,0.596106735640717,0.861439852605135,-6.63789229672664
"SAOUHSC_R0001",0.230487628818833,15.1520610802222,0.515548594438657,0.607728746762572,0.861439852605135,-6.65439183745504
"SAOUHSC_T00027",-0.250426675329581,10.2940087000303,-0.496864163986593,0.620779032676705,0.861439852605135,-6.58909088087374
"SAOUHSC_R0002",0.221042865829421,15.6151055247862,0.490171605553476,0.625483594144026,0.861439852605135,-6.65832866654665
"SAOUHSC_R00016",-0.336645530499398,7.85214445436212,-0.47008085035683,0.639699648372634,0.861439852605135,-6.22129017881007
"SAOUHSC_T00017",0.326335792553411,7.8230166256249,0.462358917211702,0.645200141565513,0.861439852605135,-6.22300279657974
"SAOUHSC_R0005",0.202685888151049,15.2734246574228,0.452094270169705,0.652542603673809,0.861439852605135,-6.68277096819356
"SAOUHSC_R0003",0.194926426037519,15.5721115494811,0.43116066514433,0.667623069044806,0.861439852605135,-6.68631655546134
"SAOUHSC_T00061",0.278880246787673,8.38362067491768,0.42679244950811,0.670787524942709,0.861439852605135,-6.31096969669504
"SAOUHSC_T00045",-0.182424812805659,10.4150036207881,-0.390920510933085,0.696995437222954,0.861439852605135,-6.6544696819959
